PERMNO,date,vwretd
10107,1991-06-04,-0.000321
10107,1991-06-05,-0.005235
10107,1991-06-06,-0.003385
10107,1991-06-07,-0.009041
10107,1991-06-10,-0.002186
10107,1991-06-11,0.004424
10107,1991-06-12,-0.010461
10107,1991-06-13,0.002134
10107,1991-06-14,0.010401
10107,1991-06-17,-0.003775
10107,1991-06-18,-0.003599
10107,1991-06-19,-0.009258
10107,1991-06-20,0.000214
10107,1991-06-21,0.004215
10107,1991-06-24,-0.016578
10107,1991-06-25,-0.001745
10107,1991-06-26,0.001376
10107,1991-06-27,0.006771
10107,1991-06-28,-0.006103
10107,1991-07-01,0.015764
10107,1991-07-02,-0.001009
10107,1991-07-03,-0.009230
10107,1991-07-05,0.001917
10107,1991-07-08,0.008084
10107,1991-07-09,-0.000854
10107,1991-07-10,0.000404
10107,1991-07-11,0.002929
10107,1991-07-12,0.007602
10107,1991-07-15,0.006161
10107,1991-07-16,-0.001752
10107,1991-07-17,-0.000131
10107,1991-07-18,0.009041
10107,1991-07-19,-0.001929
10107,1991-07-22,-0.003425
10107,1991-07-23,-0.008420
10107,1991-07-24,-0.002706
10107,1991-07-25,0.005378
10107,1991-07-26,0.000878
10107,1991-07-29,0.004775
10107,1991-07-30,0.008723
10107,1991-07-31,0.003968
10107,1991-08-01,-0.000973
10107,1991-08-02,0.000808
10107,1991-08-05,-0.004846
10107,1991-08-06,0.011969
10107,1991-08-07,0.001144
10107,1991-08-08,-0.001488
10107,1991-08-09,-0.003925
10107,1991-08-12,0.001978
10107,1991-08-13,0.004441
10107,1991-08-14,0.002259
10107,1991-08-15,-0.001346
10107,1991-08-16,-0.007974
10107,1991-08-19,-0.023036
10107,1991-08-20,0.007127
10107,1991-08-21,0.027107
10107,1991-08-22,0.002229
10107,1991-08-23,0.006183
10107,1991-08-26,-0.000292
10107,1991-08-27,-0.000906
10107,1991-08-28,0.008422
10107,1991-08-29,0.000028
10107,1991-08-30,-0.001435
10107,1991-09-03,-0.007347
10107,1991-09-04,-0.005382
10107,1991-09-05,-0.002508
10107,1991-09-06,0.000119
10107,1991-09-09,-0.000995
10107,1991-09-10,-0.010083
10107,1991-09-11,0.001800
10107,1991-09-12,0.006593
10107,1991-09-13,-0.008549
10107,1991-09-16,0.004197
10107,1991-09-17,-0.000361
10107,1991-09-18,0.003527
10107,1991-09-19,0.003243
10107,1991-09-20,0.002261
10107,1991-09-23,-0.004277
10107,1991-09-24,0.004591
10107,1991-09-25,-0.001444
10107,1991-09-26,-0.000196
10107,1991-09-27,-0.001547
10107,1991-09-30,0.005512
10107,1991-10-01,0.002719
10107,1991-10-02,-0.002361
10107,1991-10-03,-0.008870
10107,1991-10-04,-0.005721
10107,1991-10-07,-0.005612
10107,1991-10-08,0.002624
10107,1991-10-09,-0.008432
10107,1991-10-10,0.007061
10107,1991-10-11,0.003056
10107,1991-10-14,0.011955
10107,1991-10-15,0.011922
10107,1991-10-16,0.006814
10107,1991-10-17,-0.002361
10107,1991-10-18,0.001829
10107,1991-10-21,-0.005529
10107,1991-10-22,-0.003832
10107,1991-10-23,-0.000460
10107,1991-10-24,-0.007669
10107,1991-10-25,-0.002843
10107,1991-10-28,0.011439
10107,1991-10-29,0.005907
10107,1991-10-30,0.005325
10107,1991-10-31,0.001294
10107,1991-11-01,-0.002711
10107,1991-11-04,-0.002984
10107,1991-11-05,-0.002225
10107,1991-11-06,0.002803
10107,1991-11-07,0.009026
10107,1991-11-08,0.000282
10107,1991-11-11,0.001565
10107,1991-11-12,0.008718
10107,1991-11-13,0.001393
10107,1991-11-14,-0.000983
10107,1991-11-15,-0.034069
10107,1991-11-18,0.005141
10107,1991-11-19,-0.015426
10107,1991-11-20,-0.001212
10107,1991-11-21,0.004238
10107,1991-11-22,-0.009163
10107,1991-11-25,-0.003025
10107,1991-11-26,0.004763
10107,1991-11-27,-0.001972
10107,1991-11-29,-0.001413
10107,1991-12-02,0.013489
10107,1991-12-03,0.000811
10107,1991-12-04,-0.001293
10107,1991-12-05,-0.005039
10107,1991-12-06,0.003774
10107,1991-12-09,-0.002034
10107,1991-12-10,-0.001235
10107,1991-12-11,-0.002004
10107,1991-12-12,0.008720
10107,1991-12-13,0.007073
10107,1991-12-16,0.001531
10107,1991-12-17,-0.004858
10107,1991-12-18,0.001109
10107,1991-12-19,-0.003845
10107,1991-12-20,0.009688
10107,1991-12-23,0.022189
10107,1991-12-24,0.008170
10107,1991-12-26,0.013938
10107,1991-12-27,0.006093
10107,1991-12-30,0.020303
10107,1991-12-31,0.006064
10107,1992-01-02,-0.000592
10107,1992-01-03,0.005579
10107,1992-01-06,0.000018
10107,1992-01-07,0.000525
10107,1992-01-08,0.003954
10107,1992-01-09,0.002775
10107,1992-01-10,-0.005939
10107,1992-01-13,-0.000875
10107,1992-01-14,0.013024
10107,1992-01-15,0.002916
10107,1992-01-16,-0.005337
10107,1992-01-17,0.001255
10107,1992-01-20,-0.005989
10107,1992-01-21,-0.011051
10107,1992-01-22,0.013444
10107,1992-01-23,-0.004011
10107,1992-01-24,0.001264
10107,1992-01-27,-0.001468
10107,1992-01-28,0.000131
10107,1992-01-29,-0.009785
10107,1992-01-30,0.004172
10107,1992-01-31,-0.004810
10107,1992-02-03,0.002604
10107,1992-02-04,0.009858
10107,1992-02-05,0.002355
10107,1992-02-06,0.000532
10107,1992-02-07,-0.005349
10107,1992-02-10,0.004783
10107,1992-02-11,0.000312
10107,1992-02-12,0.008709
10107,1992-02-13,-0.008016
10107,1992-02-14,-0.002059
10107,1992-02-18,-0.011551
10107,1992-02-19,0.000003
10107,1992-02-20,0.012474
10107,1992-02-21,-0.004983
10107,1992-02-24,-0.000364
10107,1992-02-25,-0.004183
10107,1992-02-26,0.011719
10107,1992-02-27,-0.000865
10107,1992-02-28,-0.002338
10107,1992-03-02,0.000958
10107,1992-03-03,0.000517
10107,1992-03-04,-0.007033
10107,1992-03-05,-0.008408
10107,1992-03-06,-0.005362
10107,1992-03-09,0.001412
10107,1992-03-10,0.005301
10107,1992-03-11,-0.007128
10107,1992-03-12,-0.001260
10107,1992-03-13,0.004298
10107,1992-03-16,0.000298
10107,1992-03-17,0.007302
10107,1992-03-18,0.000023
10107,1992-03-19,0.001774
10107,1992-03-20,0.001752
10107,1992-03-23,-0.002658
10107,1992-03-24,-0.002592
10107,1992-03-25,-0.001184
10107,1992-03-26,-0.000975
10107,1992-03-27,-0.010421
10107,1992-03-30,-0.001860
10107,1992-03-31,0.001499
10107,1992-04-01,0.000199
10107,1992-04-02,-0.009487
10107,1992-04-03,0.000386
10107,1992-04-06,0.009007
10107,1992-04-07,-0.017740
10107,1992-04-08,-0.010243
10107,1992-04-09,0.015967
10107,1992-04-10,0.007450
10107,1992-04-13,0.004585
10107,1992-04-14,0.013444
10107,1992-04-15,0.007901
10107,1992-04-16,-0.002718
10107,1992-04-20,-0.014468
10107,1992-04-21,-0.001111
10107,1992-04-22,-0.000170
10107,1992-04-23,0.002202
10107,1992-04-24,-0.004537
10107,1992-04-27,-0.002185
10107,1992-04-28,-0.000772
10107,1992-04-29,0.007670
10107,1992-04-30,0.008763
10107,1992-05-01,-0.004030
10107,1992-05-04,0.009849
10107,1992-05-05,0.001794
10107,1992-05-06,0.000615
10107,1992-05-07,-0.001465
10107,1992-05-08,-0.000075
10107,1992-05-11,0.005332
10107,1992-05-12,-0.004536
10107,1992-05-13,-0.000289
10107,1992-05-14,-0.007544
10107,1992-05-15,-0.005709
10107,1992-05-18,0.005159
10107,1992-05-19,0.006926
10107,1992-05-20,-0.000583
10107,1992-05-21,-0.005953
10107,1992-05-22,0.002991
10107,1992-05-26,-0.006315
10107,1992-05-27,0.001798
10107,1992-05-28,0.008447
10107,1992-05-29,0.000279
10107,1992-06-01,0.004485
10107,1992-06-02,-0.005655
10107,1992-06-03,0.001755
10107,1992-06-04,-0.002888
10107,1992-06-05,-0.000669
10107,1992-06-08,-0.001225
10107,1992-06-09,-0.008092
10107,1992-06-10,-0.007020
10107,1992-06-11,0.002347
10107,1992-06-12,0.002516
10107,1992-06-15,-0.000189
10107,1992-06-16,-0.004509
10107,1992-06-17,-0.015123
10107,1992-06-18,-0.004253
10107,1992-06-19,0.006212
10107,1992-06-22,-0.002611
10107,1992-06-23,0.002994
